lugar,implicado,fuente
Corregimientos Pueblito  y Alto del Corral & Vereda El Guamal ,Grupos Paramilitares,Noche y Niebla # 19 Pp. 93-94 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Veredas La Loma y Getsemaní,Grupos Paramilitares,Noche y Niebla # 19 Pp. 95 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 353
IPD Purace,Guerrilla-FARC ,Noche y Niebla # 19 Pp. 98
Veredas El Salto y Bodega,Grupos Paramilitares,Noche y Niebla # 19 Pp. 100 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 353
Vereda Salinas,Grupos Paramilitares,Noche y Niebla # 19 Pp. 103 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 353
Cabecera Municipal-Vereda Penoles,Grupos Paramilitares,Noche y Niebla # 19 Pp. 106 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 354
Corregimiento Aguas Claras,Grupos Paramilitares,Noche y Niebla # 19 Pp. 105
Vereda La Fragua,Guerrilla-FARC ,Noche y Niebla # 19 Pp. 106
Vereda Machuca,Grupos Paramilitares,Noche y Niebla # 19 Pp. 108 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 354
Vía a Morelia,Grupos Paramilitares,Noche y Niebla # 19 Pp. 113 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 354
Cabecera Municipal & IPD El Chocó-Veredas Buenos Aires y La Villa,Grupos Paramilitares,Noche y Niebla # 19 Pp. 117  En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 354
Caserío Guatemala,Grupos Paramilitares,Noche y Niebla # 19 Pp. 118-119 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 355
Sitio La Esperanza y Los Comejenes,Grupo Armado No Identificado,Noche y Niebla # 19 Pp. 121
Corregimiento Filo Gringo-Vereda El Martillo,Grupos Paramilitares,Noche y Niebla # 19 Pp. 121 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 355 Policía Nacional. Procesado por Observatorio de Derechos Humanos y DIH
Cabecera Municipal,Grupos Paramilitares,"Noche y Niebla # 19 Audiencia de Imputación Jorge Iván Laverde Zapata, alias ""El Iguano"", 5 de Diciembre de 2008"
IPM El Palo y Guachimí,Grupos Paramilitares,"Noche y Niebla # 19 Pp. 129 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 355 Versión Libre Ever Veloza, alias ""HH"". Medellin, 6 de Noviembre de 2007"
Corregimiento Mondomo,Grupos Paramilitares,Noche y Niebla # 19 Pp. 135 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 355
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 19 Pp. 149 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 356 Unidad de Justicia y Paz. Masacres en el Cesar
Vereda Citronela,Grupos Paramilitares,Noche y Niebla # 19 Pp. 153 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 356
Finca Alemania,Grupos Paramilitares,"Noche y Niebla # 19 Pp. 158 Versión Libre Edward Cobos Tellez, alias ""Diego Vecino"". Barranquilla, 18 de Julio de 2007"
"Veredas El Ingenio, La Pajita y El Diamante",Grupos Paramilitares,Noche y Niebla # 19 Pp. 151 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 356
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 19 Pp. 165 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 356
Zona Rural,Grupos Paramilitares,Noche y Niebla # 19 Pp. 166 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 356
Corregimiento El Yeso,Grupos Paramilitares,Noche y Niebla # 19 Pp. 167
Vereda Los Animes,Grupos Paramilitares,Noche y Niebla # 19 Pp. 166  
Corregimiento La Rica ,Guerrilla-FARC ,Noche y Niebla # 19 Pp. 171
IPD La Cuchilla,Grupo Armado No Identificado,Noche y Niebla # 19 Pp. 173
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 19 Pp. 176 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 356
Vereda La Camila,Grupos Paramilitares,Noche y Niebla # 19 Pp. 182 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 358
Corregimiento La Madera,Grupos Paramilitares,Noche y Niebla # 19 Pp. 183 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 358
Sitio Sampuesito,Grupos Paramilitares,Noche y Niebla # 19 Pp. 184 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 358 Unidad de Justicia y Paz. Masacres en Magdalena
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 19 Pp. 187 El Colombiano. Marzo 24 de 2001. Pp. 10A
IPD Guamalito,Grupos Paramilitares,Noche y Niebla # 19 Pp. 192 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 359 Policía Nacional. Procesado por Observatorio de Derechos Humanos y DIH
Caserío La Fortuna-Vereda El Pueblito,Grupos Paramilitares,Noche y Niebla # 19 Pp. 193 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Cabecera Municipal,Guerrilla-FARC ,Noche y Niebla # 19 Pp. 194
Veredas Lomagrande y La Despensa,Grupos Paramilitares,Noche y Niebla # 19 Pp. 200-201 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento Altamira-Vereda El Indio,Grupo Armado No Identificado,Noche y Niebla # 19 Pp. 205
Corregimiento Casacará,Grupo Armado No Identificado,Unidad de Justicia y Paz. Masacres en el Cesar Pp. 26
Zona Rural,Grupo Armado No Identificado,Noche y Niebla # 20 Pp. 41
Corregimiento El Piñal,Grupo Armado No Identificado,Noche y Niebla # 20 Pp. 42
Vereda El Calvario,Grupo Armado No Identificado,Noche y Niebla # 20 Pp. 43
Zona Rural,Grupos Paramilitares,Noche y Niebla # 20 Pp. 45 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 360
Cabecera Municipal,Grupo Armado No Identificado,Unidad de Justicia y Paz. Masacres en el Cesar Pp. 24
IPD Minitas,Grupos Paramilitares,Noche y Niebla # 20 Pp. 46 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 360
Corregimiento Sevillano ,Guerrilla-ELN ,Noche y Niebla # 20 Pp. 47
Cabecera Municipal,Guerrilla-FARC ,Noche y Niebla # 20 Pp. 46
Sitio La Y ,Guerrilla-FARC ,Noche y Niebla # 20 Pp. 54 
Vereda La Yunga,Grupos Paramilitares,Noche y Niebla # 20 Pp. 60 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 360
Corregimiento La Caucana,Guerrilla-FARC ,Noche y Niebla # 20 Pp. 62
Corregimientos Los Bellos y Retiro Nuevo,Grupos Paramilitares,"Noche y Niebla # 20 Pp. 64  En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Audiencia de Imputación Uber Enrique Banquez, alias ""Juacho Dique"" 19 de Noviembre de 2008"
Veredas Guacales y Paují,Grupos Paramilitares,Noche y Niebla # 20 Pp. 66  
"Veredas El Vergel, El Tablazo y Aurora",Grupos Paramilitares,Noche y Niebla # 20 Pp. 69 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 362
Zona Rural,Grupos Paramilitares,Noche y Niebla # 20 Pp. 60 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 362 Unidad de Justicia y Paz. Masacres en el Cesar
Corregimiento Media Luna,Grupos Paramilitares,Noche y Niebla # 20 Pp. 72 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Unidad de Justicia y Paz. Masacres en el Cesar
Corregimiento Mondomo,Grupos Paramilitares,Noche y Niebla # 20 Pp. 73 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 362
Caserío Neme,Grupos Paramilitares,Noche y Niebla # 20 Pp. 78 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 363 Sentencia Corte Suprema de Justicia contra Gonzalo García Angarita
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 20 Pp. 79 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 363
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 20 Pp. 80 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 363
,Grupos Paramilitares,Noche y Niebla # 20 Pp. 79 Unidad de Justicia y Paz. Masacres en Magdalena
Cabecera Municipal,Grupo Armado No Identificado,Noche y Niebla # 20 Pp. 81  
Corregimiento Los Andes,Grupos Paramilitares,Noche y Niebla # 20 Pp. 81 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 363
IP Yurumanguí,Grupos Paramilitares,Noche y Niebla # 20 Pp. 82-83 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 363-364
Corregimiento Batata,Guerrilla-FARC ,Noche y Niebla # 20 Pp. 84
Corregimiento Tierradentro-Vereda Santa Rita ,Guerrilla-FARC ,Noche y Niebla # 20 Pp. 86
"Corregimiento El Ceral y Vereda La Silvia (Buenos Aires), Sitio Palo Solo, Vereda El Placer, Caserío Río Mina, Vereda La Concepción y Caserío San Antonio ",Grupos Paramilitares,"Noche y Niebla # 20 Pp. 54-55 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Versión Libre Ever Veloza, alias ""HH"". Medellin, 6 de Noviembre de 2007"
IPM Guachené,Grupos Paramilitares,Noche y Niebla # 20 Pp. 104 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 364
Corregimiento Mariangola,Grupos Paramilitares,Noche y Niebla # 20 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Unidad de Justicia y Paz. Masacres en el Cesar
Sitio La Cruz de Mayo,Guerrilla-FARC ,Noche y Niebla # 20 Pp. 128
Cabecera Municipal,Grupos Paramilitares,"Noche y Niebla # 20 Pp. 131-132 Audiencia de Imputación Jorge Iván Laverde, alias ""El Iguano"", 5 de Diciembre de 2008"
Corregimiento Media Luna,Grupos Paramilitares,Noche y Niebla # 20 Pp. 134 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 365
Corregimiento Casacará,Grupos Paramilitares,Noche y Niebla # 20 Pp. 135 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 365 Unidad de Justicia y Paz. Masacres en el Cesar
Cabecera Municipal y Vereda Santa Mónica,Grupos Paramilitares,Noche y Niebla # 20 Pp. 137 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 366
Corregimiento La Madera,Grupos Paramilitares,Noche y Niebla # 20 Pp. 137 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 366
Zona Rural,Guerrilla-FARC ,Noche y Niebla # 20 Pp. 141
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 20 Pp. 148 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 366
Corregimiento Los Tupes,Grupos Paramilitares,Noche y Niebla # 20 Pp. 149 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 366 Unidad de Justicia y Paz Masacres en el Cesar
Vereda Las Palmitas,Grupos Paramilitares,Noche y Niebla # 20 Pp. 153 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 367
Vereda Salto Arriba,Grupos Paramilitares,Noche y Niebla # 20 Pp. 157 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 367
Sitio La Cristalina,Grupos Paramilitares,Noche y Niebla # 20 Pp. 183
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 20 Pp. 188 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento El Placer,Grupos Paramilitares,Noche y Niebla # 20 Pp. 192 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 369
Cabecera Municipal,Grupo Armado No Identificado,Noche y Niebla # 20 Pp. 200
Sitios La Fria y Trinidad,Grupo Armado No Identificado,Noche y Niebla # 20 Pp. 203
,Grupo Armado No Identificado,Noche y Niebla # 20 Pp. 204
Vereda El Queso,Grupo Armado No Identificado,Noche y Niebla # 20 Pp. 212
Vereda El Carmen y Sector Las Torres,Grupos Paramilitares,Noche y Niebla # 21 Pp. 24 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 369
Zona Rural,Grupo Armado No Identificado,Noche y Niebla # 21 Pp. 29
Zona Rural,Grupo Armado No Identificado,Noche y Niebla # 21 Pp. 31
Zona Rural,Grupos Paramilitares,Noche y Niebla # 21 Pp. 29-30 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 369-370
Vereda Cañaveral,Fuerza Pública-Grupos Paramilitares,Noche y Niebla # 21 Pp. 34-35 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 370
Cabecera Municipal,Grupo Armado No Identificado,Noche y Niebla # 21 Pp. 38
Veredas Las Indias y Caño María,Guerrilla Conjunta-FARC y ELN,Noche y Niebla # 21 Pp. 45
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 21 Pp. 50 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 370
Sitio El Cebadero,Grupo Armado No Identificado,Noche y Niebla # 21 Pp. 53
Cabecera Municipal,Grupo Armado No Identificado,Noche y Niebla # 21 Pp. 53
Vereda La Parroquia,Grupos Paramilitares,"Noche y Niebla # 21 Pp. 52 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 371 Versión Libre alias ""El Gurre"". Audiencia de Imputación Ramón María Isaza Arango. 3 de Diciembre de 2008"
Vereda Las Agüitas,Grupos Paramilitares,Noche y Niebla # 21 Pp. 55 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 371
Corregimiento Bocas,Grupos Paramilitares,Noche y Niebla # 21 Pp. 56 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 371
Sitio La Silvia,Grupos Paramilitares,Noche y Niebla # 21 Pp. 57 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 371
Vereda Paramito,Guerrilla-ELN ,Noche y Niebla # 21 Pp. 61
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 21 Pp. 65 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 371 Unidad de Justicia y Paz. Masacres en el Cesar
,Guerrilla-FARC ,Documento PIU San Carlos 2006
Vereda Los Andes,Guerrilla-FARC ,Noche y Niebla # 21 Pp. 69
IPD Surimena,Grupos Paramilitares,Noche y Niebla # 21 Pp. 74 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 372
Cabecera Municipal y Corregimiento Juan Mina,Grupos Paramilitares,Noche y Niebla # 21 Pp. 74 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 372
Vereda Coclí,Grupo Armado No Identificado,Unidad de Justicia y Paz. Masacres en el Cesar Pp. 42
Sitio La Cuchilla ,Grupos Paramilitares,"Noche y Niebla # 21 Pp. 89 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 372 Versión Libre Ever Veloza, alias ""HH"". Medellin, 7 de Noviembre de 2007"
Corregimiento San José,Grupos Paramilitares,Noche y Niebla # 21 Pp. 96 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Cabecera Municipal,Grupo Armado No Identificado,Noche y Niebla # 21 Pp. 102
Vía a Plato,Grupos Paramilitares,"Noche y Niebla # 21 Pp. 107-108 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 373 Versión Libre Salvatore Mancuso. Medellin, 16 de Enero de 2007"
Vereda Las Indias,Grupo Armado No Identificado,Noche y Niebla # 21 Pp. 115
"Veredas San Miguel, La Floresta y Montebello- Caserío Arenas Blancas",Grupos Paramilitares,Noche y Niebla # 21 Pp. 115 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 374
"Veredas Santo Tomás, La Calera, Maracaibo, El Comino, Normandía  y San Nicolás",Grupos Paramilitares,Noche y Niebla # 21 Pp. 120 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 374
Vereda El Comino,Grupos Paramilitares,Noche y Niebla # 21 Pp. 127 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 375
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 21 Pp. 147
Corregimiento Montecitos,Grupos Paramilitares,Noche y Niebla # 21 Pp. 133 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 375   
Veredas El Palmar y El Pital,Grupos Paramilitares,"Noche y Niebla # 21 Pp. 133 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 375 Versión Libre Ever Veloza, alias ""HH"". Medellin, 7 de Mayo de 2008"
Corregimiento Juan José,Grupos Paramilitares,Noche y Niebla # 21 Pp. 138 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimientos Barro Blanco y Sucre,Grupos Paramilitares,Noche y Niebla # 21 Pp. 140 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 376
IPD Llorente,Grupos Paramilitares,"Noche y Niebla # 21 Pp. 141 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 376 Versión Libre Albeiro José Guerra Díaz Audiencia de Imputación 29 de Mayo de 2009 Audiencia de Imputación Julio Cesar Posada Orrego, 13 de Febrero de 2009"
Corregimiento La Granja,Grupos Paramilitares,Noche y Niebla # 21 Pp. 142 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 376
Vereda La Perla,Grupo Armado No Identificado,Noche y Niebla # 21 Pp. 157
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 21 Pp. 177 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 382
Zona Rural,Grupo Armado No Identificado,Noche y Niebla # 21 Pp. 163
Corregimiento La Gabarra,Grupos Paramilitares,Noche y Niebla # 21 Pp. 164
Vereda La Estrella,Grupos Paramilitares,Noche y Niebla # 21 Pp. 171 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 378
"IPD La Aguada-Veredas Piedra Blanca, Alto Pascual y Caserio Doña Ana",Grupos Paramilitares,Noche y Niebla # 21 Pp. 170 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
"IPD San Julián y Veredas Las Divisas, Las Balsas y El Diamante",Guerrilla-ELN ,Noche y Niebla # 21 Pp. 171 
Caserío Puerto Lleras (Riosucio) e IP Pueblo Nuevo (Bojayá),Grupos Paramilitares,Noche y Niebla # 21 Pp. 175 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 378
IPD Frías,Grupos Paramilitares,"Noche y Niebla # 21 Pp. 178 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 382 Versión Libre alias ""El Gurre""."
Corregimiento La Chapa,Grupos Paramilitares,Noche y Niebla # 21 Pp. 181 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 382
Cabecera Municipal,Grupo Armado No Identificado,Noche y Niebla # 21 Pp. 186
Sitio Aguas Calientes,Guerrilla-FARC ,Noche y Niebla # 21 Pp. 195
Vereda Cascada,Grupo Armado No Identificado,Noche y Niebla # 21 Pp. 200
Cabecera Municipal e IPD Betania ,Grupos Paramilitares,Noche y Niebla # 22 Pp. 205 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 pp. 384
Vereda Zaragoza,Grupo Armado No Identificado,Noche y Niebla # 22 Pp. 2 
Corregimiento Tasajera-Caserío La Palmera,Grupos Paramilitares,Noche y Niebla # 22 Pp. 7 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 384 Unidad de Justicia y Paz. Masacres en Magdalena
Vereda Granizal,Grupos Paramilitares,Noche y Niebla # 22 Pp. 7 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 384  
Corregimiento Aguas Claras,Grupo Armado No Identificado,Noche y Niebla # 22 Pp. 9
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 22 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento La Habana-Vereda Alaska,Grupos Paramilitares,"Noche y Niebla # 22 Pp. 12 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 385 Versión Libre Ever Veloza, alias ""HH"". Medellin, 6 de Noviembre de 2007"
Vereda Las Rosas,Grupos Paramilitares,Noche y Niebla # 22 Pp. 14 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Veredas Miraflores y La Pradera,Grupos Paramilitares,Noche y Niebla # 22 Pp. 14 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Sitio Arroyo Grande,Grupo Armado No Identificado,Noche y Niebla # 22 Pp. 15
IPM El Llano-Vereda La Garrucha,Grupos Paramilitares,Noche y Niebla # 22 Pp. 16 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 385-386
IPM Los Naranjos-Vereda Guayabal ,Grupos Paramilitares,Noche y Niebla # 22 Pp. 16
"Veredas La Inmaculada, Las Cruces, El Popo y El Remango",Grupos Paramilitares,Noche y Niebla # 22 Pp. 20 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 386
Vereda Buenavista,Grupos Paramilitares,Noche y Niebla # 22 Pp. 22-23 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 386
Corregimiento La Gabarra,Grupo Armado No Identificado,Noche y Niebla # 22 Pp. 26
IPD Borrero Ayerbe-Vereda Las Tórtolas,Grupos Paramilitares,Noche y Niebla # 22 Pp. 24-25 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 386
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 31 Actualizaciones Pp. 262
Vereda Getsemaní,Grupos Paramilitares,Noche y Niebla # 22 Pp. 34 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 387
Corregimiento Pozo Azul-Vereda Monte Carmelo,Grupos Paramilitares,Noche y Niebla # 22 Pp. 31-32
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 22 Pp. 32 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 387
IPD Padua-Vereda Petaqueros,Grupos Paramilitares,Noche y Niebla # 22 Pp. 37
Sitio Puente Chiquito,Grupos Paramilitares,Noche y Niebla # 22 Pp. 38
Caserío La Aurora,Grupos Paramilitares,Noche y Niebla # 22 Pp. 38 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 387 Unidad de Justicia y Paz. Masacres en el Cesar
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 22 Pp. 40 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 387
Cabecera Municipal,Grupo Armado No Identificado,Noche y Niebla # 22 Pp. 45
IPD El Chocó-Vereda Buenos Aires,Grupos Paramilitares,Noche y Niebla # 22 Pp. 53 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 338
Vereda Viadal,Grupos Paramilitares,Noche y Niebla # 22 Pp. 53 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 338
IP El Ramal (La Paz),Grupos Paramilitares,Noche y Niebla # 22 Pp. 53 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 338
Cabecera Municipal,Grupo Armado No Identificado,Noche y Niebla # 22 Pp. 53
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 22 Pp. 54 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 388
Zona Rural,Guerrilla-FARC ,Noche y Niebla # 22 Pp. 58
Veredas El Silencio y Las Mesas,Grupos Paramilitares,Noche y Niebla # 22 Pp. 61 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 389
Sitio Gualanday,Grupos Paramilitares,Noche y Niebla # 22 Pp. 69 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 389
Vereda Barro Blanco,Grupos Paramilitares,Noche y Niebla # 22 Pp. 65 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 389
Resguardo Cañamomo y Lomaprieta,Grupos Paramilitares,Noche y Niebla # 22 Pp. 69 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 389
Vereda Las Cuchillas,Grupo Armado No Identificado,Noche y Niebla # 22 Pp. 73
Vereda El Recuerdo,Grupos Paramilitares,Noche y Niebla # 22 Pp. 73
Corregimiento Guacamayal,Grupos Paramilitares,Noche y Niebla # 22 Pp. 74 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 390 Unidad de Justicia y Paz. Masacres en Magdalena
Vereda Campo Alegre,Grupos Paramilitares,Noche y Niebla # 22 Pp. 74 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 390  
Vereda Cestiadero de Jerico,Grupos Paramilitares,Noche y Niebla # 22 Pp. 74
,Grupos Paramilitares,Noche y Niebla # 22 Pp. 75
Cabecera Municipal,Grupo Armado No Identificado,Noche y Niebla # 22 Pp. 77  
IPM Campo Alicia-Vereda El Salto,Grupos Paramilitares,"Noche y Niebla # 22 Pp. 77 Audiencia de imputación Jorge Iván Laverde Zapata, alias ""El Iguano"", 5 de Diciembre de 2008"
Zona Rural,Grupos Paramilitares,Noche y Niebla # 22 Pp. 79
Veredas Las Cintas,Grupos Paramilitares,Noche y Niebla # 22 Pp. 78 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 El Tiempo. 10 de Noviembre de 2010
,Grupos Paramilitares,Noche y Niebla # 22 Pp. 79
Corregimiento La Gabarra-Vereda La Cuarenta,Guerrilla-FARC ,Noche y Niebla # 22 Pp. 80
Vereda Caracoli,Grupo Armado No Identificado,Noche y Niebla # 22 Pp. 85
Vereda Tierradentro,Guerrilla-FARC ,Noche y Niebla # 22 Pp. 88
Cabecera Municipal,Guerrilla-FARC ,Noche y Niebla # 22 Pp. 86
Cabecera Municipal y Caserío Rio Arriba,Guerrilla-FARC ,Noche y Niebla # 22 Pp. 87
Veredas Santa Ana y La Fria ,Grupos Paramilitares,Noche y Niebla # 22 Pp. 89 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
