lugar,implicado,fuente
Caserío La Habana,Guerrilla No Identificada,Enterrar y Callar Pp. 86 El Tiempo 14/05/1986: 2A
IPD San Miguel del Tigre,Grupos Paramilitares,Enterrar y Callar Pp. 87 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 320
IP San Juan,Guerrilla-FARC ,Enterrar y Callar Pp. 190 El Tiempo 21/06/1986: 1A
 IPD Piñalito,Fuerza Pública-Ejército Nacional,Colombia Nunca Más. Crímenes de Lesa Humanidad. Zona No 7 Pp. 238
Vereda Nuevo Tolima,Grupos Paramilitares,Enterrar y Callar Pp. 155 Colombia Nunca Más. Crímenes de Lesa Humanidad. Zona No 7 Pp. 326
,Grupo Armado No Identificado,Enterrar y Callar Pp. 68 CPDH- Itinerario de la Represión y la Violencia Institucionalizadas Colombia 1986 Pp. 87-88
Cabecera Municipal,Grupos Paramilitares,Enterrar y Callar Pp. 206 CPDH- Itinerario de la Represión y la Violencia Institucionalizadas Colombia 1986 Pp. 88-89
Veredas Novilla y Chaparral,Grupo Armado No Identificado,Enterrar y Callar Pp. 169 El Tiempo 06/10/86: 2A Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar Pp. 86
Sitio Mina Vieja,Grupos Paramilitares,Enterrar y Callar Pp. 69 CPDH-Itinerario de la Represión y la Violencia Institucionalizadas Colombia 1986 Pp. 101
IPD Medellin del Ariari,Fuerza Pública-Ejército Nacional,Enterrar y Callar Pp. 164. Ceder es más terrible que la muerte. 1985-1996. Una década de violencia en el Meta. Pp. 79 Colombia Nunca Más. Crimenes de Lesa Humanidad Zona 7 Pp.217-218
Caserío San Antonio de Atenas,Grupos Paramilitares,Enterrar y Callar Pp. 108 CPDH-Itinerario de la Represión y la Violencia Institucionalizadas Colombia 1986 Pp. 101
Vereda Piñares,Grupos Paramilitares,Enterrar y Callar Pp. 68 CPDH- Itinerario de la Represión y la Violencia Institucionalizadas Colombia 1986 Pp. 119
Cabecera Municipal,Fuerza Pública-Policía Nacional,Enterrar y Callar Pp. 135 CPDH- Itinerario de la Represión y la Violencia Institucionalizadas Colombia 1986 Pp. 120
Corregimiento Tie,Grupos Paramilitares,Enterrar y Callar Pp. 83 El Tiempo 20/12/1987: 2A
IPD Yurayaco-Vereda Yurayaco,Guerrilla-FARC ,Enterrar y Callar Pp. 110 El Tiempo 14/01/1987:2A
Cabecera Municipal,Guerrilla No Identificada,Enterrar y Callar Pp. 91 El Tiempo 14/01/1987:1A-11A
Vereda Río Colorado,Fuerza Pública-Ejército Nacional,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Provincias Santandereanas Pp. 124
"IPD El Centro-Veredas El Centro, San Miguel, Troches y La Loma",Guerrilla-FARC ,Enterrar y Callar Pp. 181 El Tiempo 24/02/1987:1A
Cabecera Municipal,Guerrilla-FARC ,Enterrar y Callar Pp. 109 El Tiempo 09/03/1987: 1A
IPD Santa Rosa del Carare-Vereda La Corcovada,Grupos Paramilitares,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 252-253
IPD Santa Rosa del Carare-Vereda La Corcovada,Grupo Armado No Identificado,Enterrar y Callar Pp. 190 CPDH
Vereda Islandia,Grupos Paramilitares,Enterrar y Callar Pp. 199 El Tiempo 11/04/1987: 2A
Vereda Número Siete,Grupos Paramilitares,Enterrar y Callar Pp. 190 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 253
IP El Caucho,Guerrilla-FARC ,Enterrar y Callar Pp. 110 El Tiempo 27/04/1987: 2A
Vereda Terraplen,Guerrilla-EPL ,Enterrar y Callar Pp. 126 El Tiempo 03/05/1987: 3A
IPM San Ignacio de La Aguada,Grupo Armado No Identificado,Enterrar y Callar Pp. 192
Vereda Aurora,Grupos Paramilitares,Enterrar y Callar Pp. 193 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Magdalena Medio Santandereano Pp. 80
Vereda La Tachuela,Grupos Paramilitares,Enterrar y Callar Pp. 195  Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Provincias Santandereanas Pp. 107-108
Cabecera Municipal,Grupos Paramilitares,Enterrar y Callar Pp. 20 El Tiempo 20/09/1987
Sector Caño El Ermitaño,Grupos Paramilitares,Enterrar y Callar Pp. 102 Boletín Justicia y Paz Vol. 1 No 3 Pp. 71-72 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Vereda Caguán,Fuerza Pública-Policía Nacional,Enterrar y Callar Pp. 156 El Tiempo 26/10/1987
Finca La Tortola,Guerrilla-FARC ,Enterrar y Callar Pp. 149 El Espectador 01/11/1987
Cabecera Municipal,Grupos Paramilitares,Enterrar y Callar Pp. 43 Boletín de Prensa CPDH Noviembre de 1987 Pp. 3-4 S.O.S. por la Vida en Colombia
Corregimiento Pozo Azul,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 1 No 1 Pp. 11 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Bolívar 
Zona Rural,Fuerza Pública-Ejército Nacional,Boletín Justicia y Paz Vol. 1 No 1 Pp. 12 Enterrar y Callar Vol. 2 Pp. 76
Zona Rural,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 1 Pp. 12 Colombia Nunca Más. Crimenes de Lesa Humanidad Zona 7 Pp. 329
Vereda La Angostura,Guerrilla-FARC ,Enterrar y Callar Vol 2 Pp. 72 El Mundo 28/01/1988
Vereda Cuatro Bocas,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 1 No 1 Pp. 26 
Sitio Caño Viejo,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 1 Pp. 30 Enterrar y Callar Vol. 2 Pp. 182 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5
Zona Rural,Grupos Paramilitares,Colombia Nunca Más. Crímenes de Lesa Humanidad. Zona No 7 Pp. 307
,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 1 Pp. 32 Enterrar y Callar Vol. 2 Pp. 200 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Magdalena Medio Santandereano
Zona Rural,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 1 No 1 Pp. 32
Cabecera Municipal-Vereda Carrastol,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 1 Pp. 32 Enterrar y Callar Vol. 2 Pp. 110
 IPD Piñalito,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 1 Pp. 33 Enterrar y Callar Vol. 2 Pp. 170 Ceder es más terrible que la muerte Pp. 83 Colombia Nunca Más. Crimenes de Lesa Humanidad Zona 7 Pp. 242
 ,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 1 No 1 Pp. 33
Corregimiento Santa Rosa de Lima-Caserío El Filo,Guerrilla-FARC ,Boletín Justicia y Paz Vol. 1 No 1 Pp. 34 Enterrar y Callar Vol. 2 Pp. 161
Zona Rural,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 1 Pp. 40
Corregimiento Currulao-Fincas Honduras y La Negra,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 1 Pp. 40 Comisión Interamericana de Derechos Humanos- Informe de Admisibilidad No 2 de 1994 Enterrar y Callar Vol. 2 Pp. 83
Vereda Guapá,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 1 Pp. 40
Vereda Las Cruces,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 1 No 1 Pp. 46
Caserío La Mejor Esquina,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 2 Pp. 8 Enterrar y Callar Vol. 2 Pp. 128
Sitio El Blanco,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 2 Pp. 8 Enterrar y Callar Vol. 2 Pp. 111
Corregimiento Currulao-Vereda Coquitos,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 2 Pp. 9 Enterrar y Callar. Vol. 2 Pp. 83
Vereda Loma Abajo,Fuerza Pública-Ejército Nacional,Boletín Justicia y Paz Vol. 1 No 2 Pp. 10
IPD Albania-Vereda El Porvenir,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 2 Pp. 16 Enterrar y Callar Vol. 2 Pp. 197 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Magdalena Medio Santandereano 
Veredas Angostura y El Porvenir,Grupos Paramilitares,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Magdalena Medio Santandereano Pp. 120
,Agente Extranjero-Guardia Nacional Venezolana,Boletín Justicia y Paz Vol. 1 No 2 Pp. 30 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander
Finca Los Pinos,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 1 No 2 Pp. 31
IPD La Fortuna,Fuerza Pública-Ejército Nacional,Boletín Justicia y Paz Vol. 1 No 2 Pp. 32 Enterrar y Callar Vol. 2 Pp. 197 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Magdalena Medio Santandereano
Cabecera Municipal,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 2 Pp. 33 Enterrar y Callar Vol. 2 Pp. 169 Colombia Nunca Más. Crimenes de Lesa Humanidad Zona 7 Pp. 291
Vereda Llana Caliente,Fuerza Pública-Ejército Nacional,Boletín Justicia y Paz Vol. 1 No 2 Pp. 34 Enterrar y Callar Vol. 2 Pp. 197 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Magdalena Medio Santandereano Pp. 125
